obs_id,site_id,obs_type,water_body,usgs_gage,species_comm,total_count,area,Y,X,datum,obs_date,Mafa_cnt,Ano_cnt,Goan_cnt,AsianClams,,,,,,,,,,,,,,,,,,,,,,,,,
DAYSCH05,DAYSCH,timed search,S Umpqua,Tiller,"floater, western pearlshell",944,735,42.958526,-123.175899,NAD83,8/5/20,2,942,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
DAYSCH06,DAYSCH,visual,S Umpqua,Tiller,"floater, western pearlshell",69,150,42.957448,-123.176174,NAD83,8/5/20,2,68,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
DAYSCH07,DAYSCH,visual,S Umpqua,Tiller,"western pearlshell, western ridged",8,0.5,42.958645,-123.176487,NAD83,8/5/20,5,0,1,no,,,,,,,,,,,,,,,,,,,,,,,,,
DAYSCH08,DAYSCH,visual,S Umpqua,Tiller,western pearlshell,36,10,42.958858,-123.176606,NAD83,8/5/20,36,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
TIL0201,TIL02,systematic sample,S Umpqua,Tiller,floater,364,52.5,42.93426,-123.03869,WGS84,7/11/18,0,364,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
TIL0202,TIL02,visual,S Umpqua,Tiller,western pearlshell,1,0.25,42.933487,-123.03795,WGS84,7/11/18,1,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
SR01,SR,visual,S Umpqua,Tiller,"western pearlshell, floater",1348,1950,42.943679,-123.011171,NAD83,8/8/20,1347,1,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
SR02,SR,visual,S Umpqua,Tiller,western pearlshell,50,120,42.944516,-123.009481,NAD83,8/8/20,50,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
TIL0301,TIL03,systematic sample,S Umpqua,Tiller,western pearlshell,86978,931.84,42.939444,-123.00241,WGS84,7/16/18,86978,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
TIL0302,TIL03,visual,S Umpqua,Tiller,western pearlshell,60,2.5,42.940031,-123.003277,WGS84,7/16/18,60,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
OB01,OB,visual,S Umpqua,Tiller,"western pearlshell, floater",2,3,42.937824,-122.993021,NAD83,8/9/20,1,1,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
OB02,OB,timed search,S Umpqua,Tiller,western pearlshell,3114,115,42.937651,-122.992321,NAD83,8/9/20,3114,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
OB03,OB,visual,S Umpqua,Tiller,western pearlshell,350,25,42.937379,-122.992088,NAD83,8/9/20,350,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
OB04,OB,visual,S Umpqua,Tiller,floater,5,10,42.936623,-122.991829,NAD83,8/9/20,0,5,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
ZINCCMP01,ZINCCMP,visual,S Umpqua,Tiller,western pearlshell,200,15,43.042809,-122.786841,NAD83,8/8/20,200,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
ZINCCMP02,ZINCCMP,visual,S Umpqua,Tiller,western pearlshell,2500,2400,43.04218,-122.786775,NAD83,8/8/20,2500,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
COW0101,COW01,systematic sample,Cow Cr,Riddle,western pearlshell,112,43,42.89284,-123.53474,WGS84,6/14/18,112,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
COW0102,COW01,visual,Cow Cr,Riddle,western pearlshell,1,0.25,42.891895,-123.535178,WGS84,7/20/18,1,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
COW0103,COW01,visual,Cow Cr,Riddle,western pearlshell,1,0.25,42.8896,-123.537688,WGS84,7/20/18,1,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
COW0104,COW01,visual,Cow Cr,Riddle,floater,1,0.25,42.89333,-123.53346,WGS84,9/18/18,0,1,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
COW0201,COW02,visual,Cow Cr,Riddle,western pearlshell,2,0.5,42.865846,-123.578904,WGS84,7/20/18,2,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,
